Date,Names,Loan_Purpose,Guarantor,Amount,Payment_Mode,Employment,Other Income,Marital_Status,Loan_Status,Interest_rate
2007-02-16,Eniola,School Fees,Present,862740,Cash,Employed,Yes,Divorce,Approved,8%
2007-02-17,Paul,School Fees,Present,756476,Cash,Employed,No,Married,Approved,8%
2007-02-18,James,Business,Absence,893252,Online,Self-employed,Yes,Divorce,Rejected,10%
2007-02-19,Janet,Business,Present,310327,Cash,Self-employed,No,Married,Rejected,10%
2007-02-20,John,Food,Absence,615591,Cash,Unemployed,Yes,Divorce,Rejected,15%
2007-02-21,Daniel,Rent,Present,405648,Cash,Self-employed,Yes,Divorce,Approved,20%
2007-02-22,James,Food,Present,811534,Cash,Self-employed,No,Single,Rejected,15%
2007-02-23,Paul,Others,Absence,420951,Cash,Unemployed,No,Divorce,Approved,15%
2007-02-24,Esther,Food,Absence,649837,Online,Employed,No,Divorce,Rejected,20%
2007-02-25,Janet,Others,Present,822604,Online,Employed,Yes,Divorce,Approved,20%
2007-02-26,Propser,Others,Present,992889,Online,Unemployed,Yes,Single,Rejected,20%
2007-02-27,James,Rent,Absence,941007,Cash,Self-employed,No,Single,Approved,8%
2007-02-28,James,Rent,Absence,373275,Cash,Unemployed,Yes,Single,Rejected,10%
2007-03-01,James,Business,Present,942441,Online,Employed,No,Divorce,Rejected,15%
2007-03-02,Daniel,Others,Absence,655951,Online,Employed,No,Married,Rejected,10%
2007-03-03,Eniola,Food,Absence,263331,Cash,Employed,Yes,Divorce,Rejected,15%
2007-03-04,Eniola,Others,Absence,411513,Online,Unemployed,No,Divorce,Approved,20%
2007-03-05,James,Food,Absence,916824,Online,Employed,No,Single,Approved,20%
2007-03-06,James,Food,Present,948349,Online,Employed,Yes,Married,Rejected,10%
2007-03-07,Paul,Food,Absence,268548,Cash,Employed,Yes,Divorce,Rejected,20%
2007-03-08,Paul,Others,Present,87133,Cash,Self-employed,Yes,Single,Rejected,15%
2007-03-09,James,Business,Present,676470,Online,Employed,Yes,Single,Approved,10%
2007-03-10,Eniola,Others,Present,566671,Online,Employed,Yes,Married,Approved,15%
2007-03-11,Esther,Rent,Present,114946,Cash,Unemployed,Yes,Married,Approved,15%
2007-03-12,Propser,Food,Absence,965678,Online,Self-employed,No,Divorce,Rejected,20%
2007-03-13,John,School Fees,Present,797147,Online,Unemployed,Yes,Divorce,Rejected,8%
2007-03-14,Daniel,Others,Present,742158,Online,Unemployed,No,Divorce,Rejected,8%
2007-03-15,James,Rent,Absence,819502,Online,Self-employed,No,Single,Approved,20%
2007-03-16,Janet,Others,Absence,524436,Cash,Unemployed,Yes,Single,Approved,10%
2007-03-17,Blessing,Others,Absence,67101,Cash,Employed,Yes,Divorce,Rejected,10%
2007-03-18,James,School Fees,Absence,245402,Cash,Self-employed,No,Divorce,Approved,8%
2007-03-19,Eniola,Others,Absence,371047,Online,Self-employed,No,Single,Rejected,15%
2007-03-20,Esther,Others,Present,556558,Cash,Self-employed,Yes,Single,Rejected,10%
2007-03-21,Blessing,Others,Present,363625,Online,Employed,Yes,Married,Rejected,15%
2007-03-22,Esther,Rent,Present,932430,Online,Unemployed,No,Single,Rejected,8%
2007-03-23,Daniel,School Fees,Present,114973,Cash,Employed,Yes,Single,Rejected,15%
2007-03-24,James,Food,Present,732594,Online,Self-employed,Yes,Married,Rejected,20%
2007-03-25,Blessing,Business,Absence,996795,Online,Employed,No,Divorce,Rejected,15%
2007-03-26,Blessing,School Fees,Absence,766785,Online,Employed,Yes,Divorce,Approved,20%
2007-03-27,Eniola,School Fees,Absence,810901,Cash,Self-employed,No,Divorce,Rejected,8%
2007-03-28,Esther,School Fees,Present,722742,Online,Unemployed,No,Married,Approved,15%
2007-03-29,Daniel,Food,Present,611014,Online,Employed,Yes,Married,Rejected,8%
2007-03-30,John,School Fees,Present,956325,Online,Employed,No,Divorce,Rejected,8%
2007-03-31,Eniola,Business,Present,755885,Online,Unemployed,No,Single,Rejected,20%
2007-04-01,Propser,School Fees,Present,800239,Online,Employed,No,Single,Rejected,8%
2007-04-02,Paul,Others,Absence,518675,Online,Self-employed,No,Married,Approved,20%
2007-04-03,Janet,Business,Present,263245,Online,Self-employed,No,Single,Approved,10%
2007-04-04,Daniel,Others,Absence,643253,Cash,Employed,No,Divorce,Rejected,8%
2007-04-05,Daniel,Food,Absence,280741,Cash,Unemployed,Yes,Divorce,Approved,8%
2007-04-06,John,School Fees,Absence,889884,Online,Self-employed,No,Single,Approved,8%
2007-04-07,John,School Fees,Present,185432,Online,Employed,Yes,Married,Approved,20%
2007-04-08,Daniel,Rent,Present,93494,Online,Unemployed,Yes,Divorce,Rejected,20%
2007-04-09,Esther,Food,Absence,62280,Online,Self-employed,Yes,Single,Rejected,15%
2007-04-10,Blessing,School Fees,Present,683891,Online,Employed,Yes,Single,Approved,8%
2007-04-11,John,Food,Present,464612,Cash,Employed,No,Married,Approved,10%
2007-04-12,Blessing,Others,Present,70415,Cash,Employed,Yes,Single,Approved,20%
2007-04-13,Paul,Others,Absence,269621,Online,Self-employed,Yes,Married,Approved,10%
2007-04-14,Janet,School Fees,Present,188746,Online,Unemployed,Yes,Divorce,Rejected,10%
2007-04-15,John,Business,Present,536718,Online,Employed,No,Single,Approved,20%
2007-04-16,Eniola,School Fees,Present,265879,Online,Unemployed,No,Divorce,Rejected,20%
2007-04-17,Eniola,School Fees,Absence,922473,Online,Employed,No,Married,Approved,10%
2007-04-18,Queen,Food,Present,464775,Online,Self-employed,Yes,Divorce,Rejected,20%
2007-04-19,Queen,Rent,Present,242476,Cash,Employed,No,Divorce,Approved,20%
2007-04-20,Queen,Others,Absence,486710,Cash,Self-employed,No,Single,Approved,10%
2007-04-21,Daniel,Food,Absence,525364,Cash,Unemployed,Yes,Divorce,Approved,15%
2007-04-22,Esther,School Fees,Absence,742092,Cash,Unemployed,No,Single,Approved,10%
2007-04-23,Eniola,Business,Absence,266196,Online,Self-employed,No,Single,Approved,10%
2007-04-24,Daniel,Others,Present,820602,Cash,Employed,Yes,Married,Rejected,10%
2007-04-25,Blessing,Food,Present,94161,Cash,Employed,Yes,Married,Rejected,8%
2007-04-26,James,Rent,Absence,490488,Online,Employed,Yes,Married,Rejected,8%
2007-04-27,James,Business,Absence,97772,Cash,Employed,Yes,Married,Rejected,10%
2007-04-28,James,School Fees,Absence,428189,Cash,Employed,No,Married,Approved,8%
2007-04-29,Blessing,Business,Present,643954,Cash,Employed,No,Single,Approved,15%
2007-04-30,John,School Fees,Absence,53746,Online,Unemployed,Yes,Divorce,Rejected,10%
2007-05-01,Daniel,Business,Absence,349506,Online,Self-employed,No,Married,Rejected,10%
2007-05-02,Janet,School Fees,Absence,681716,Online,Employed,Yes,Married,Approved,15%
2007-05-03,Queen,Others,Present,721874,Cash,Unemployed,Yes,Married,Approved,8%
2007-05-04,Blessing,Others,Present,235581,Online,Employed,Yes,Single,Approved,15%
2007-05-05,Propser,Rent,Present,913316,Cash,Employed,Yes,Divorce,Rejected,15%
2007-05-06,Paul,Food,Present,847494,Cash,Unemployed,No,Divorce,Rejected,20%
2007-05-07,John,Business,Absence,183386,Online,Employed,No,Divorce,Approved,20%
2007-05-08,Janet,Rent,Absence,378160,Online,Self-employed,No,Single,Approved,8%
2007-05-09,Janet,Business,Present,966911,Online,Employed,Yes,Single,Rejected,20%
2007-05-10,Eniola,Business,Absence,645663,Cash,Self-employed,No,Divorce,Approved,10%
2007-05-11,Paul,Business,Present,88796,Cash,Unemployed,No,Divorce,Approved,10%
2007-05-12,Propser,Others,Absence,706397,Online,Employed,No,Single,Rejected,20%
2007-05-13,James,Rent,Absence,911940,Online,Employed,No,Single,Rejected,15%
2007-05-14,John,Business,Absence,601501,Cash,Employed,No,Married,Rejected,20%
2007-05-15,James,Rent,Absence,261137,Online,Self-employed,No,Single,Rejected,10%
2007-05-16,Eniola,Others,Absence,914273,Online,Employed,No,Single,Approved,20%
2007-05-17,John,School Fees,Absence,536651,Online,Unemployed,Yes,Divorce,Rejected,15%
2007-05-18,Paul,Others,Absence,867678,Cash,Employed,No,Divorce,Rejected,15%
2007-05-19,Daniel,Food,Present,315884,Cash,Employed,No,Single,Approved,20%
2007-05-20,Propser,Food,Present,873544,Cash,Employed,No,Married,Approved,10%
2007-05-21,James,School Fees,Present,279337,Cash,Self-employed,No,Divorce,Rejected,15%
2007-05-22,Queen,Food,Present,568215,Cash,Self-employed,No,Single,Approved,15%
2007-05-23,Janet,School Fees,Present,469279,Cash,Employed,No,Single,Rejected,8%
2007-05-24,Eniola,Rent,Absence,807016,Cash,Unemployed,No,Divorce,Rejected,10%
2007-05-25,James,School Fees,Absence,124551,Cash,Self-employed,Yes,Divorce,Approved,15%
2007-05-26,Daniel,Others,Absence,765641,Online,Employed,No,Single,Rejected,8%
2007-05-27,Paul,Business,Present,99209,Online,Employed,Yes,Divorce,Approved,10%
2007-05-28,Paul,Rent,Present,549940,Cash,Unemployed,No,Married,Approved,10%
2007-05-29,Blessing,Food,Absence,660288,Online,Employed,Yes,Married,Approved,15%
2007-05-30,Queen,Business,Absence,824078,Cash,Self-employed,Yes,Single,Rejected,15%
2007-05-31,John,Others,Present,766495,Online,Employed,Yes,Married,Rejected,10%
2007-06-01,Daniel,Rent,Present,320403,Cash,Self-employed,No,Divorce,Approved,10%
2007-06-02,Esther,Others,Present,993641,Cash,Unemployed,No,Single,Approved,15%
2007-06-03,Queen,Food,Present,784323,Online,Employed,No,Married,Rejected,15%
2007-06-04,Esther,Food,Present,283552,Cash,Self-employed,No,Divorce,Rejected,10%
2007-06-05,Janet,School Fees,Absence,594571,Online,Unemployed,Yes,Married,Approved,15%
2007-06-06,Daniel,Rent,Absence,748223,Cash,Unemployed,No,Single,Rejected,8%
2007-06-07,Blessing,School Fees,Absence,372331,Cash,Unemployed,No,Married,Approved,20%
2007-06-08,Blessing,School Fees,Absence,98665,Online,Unemployed,Yes,Divorce,Rejected,10%
2007-06-09,Esther,School Fees,Present,667177,Online,Unemployed,Yes,Divorce,Approved,8%
2007-06-10,John,Rent,Absence,297391,Cash,Employed,Yes,Divorce,Approved,10%
2007-06-11,Propser,Business,Present,882354,Cash,Unemployed,No,Divorce,Approved,8%
2007-06-12,James,Food,Present,652835,Online,Self-employed,Yes,Divorce,Approved,20%
2007-06-13,Janet,Business,Absence,811842,Online,Employed,Yes,Single,Rejected,8%
2007-06-14,Queen,School Fees,Present,415158,Cash,Unemployed,Yes,Single,Rejected,10%
2007-06-15,Esther,Food,Present,907849,Cash,Employed,Yes,Married,Approved,20%
2007-06-16,Blessing,Business,Absence,896656,Online,Employed,No,Single,Rejected,8%
2007-06-17,Paul,Business,Present,973632,Cash,Unemployed,Yes,Married,Approved,10%
2007-06-18,Esther,School Fees,Present,400889,Cash,Unemployed,Yes,Divorce,Rejected,20%
2007-06-19,Daniel,Rent,Present,446267,Cash,Unemployed,No,Married,Rejected,15%
2007-06-20,Propser,Business,Absence,61589,Cash,Self-employed,No,Single,Rejected,20%
2007-06-21,Eniola,Rent,Present,94183,Cash,Self-employed,No,Single,Approved,15%
2007-06-22,Paul,Food,Absence,367547,Cash,Employed,No,Married,Rejected,8%
2007-06-23,Blessing,Others,Absence,302770,Online,Employed,No,Divorce,Approved,20%
2007-06-24,Paul,Business,Absence,510601,Cash,Self-employed,No,Single,Approved,20%
2007-06-25,John,School Fees,Absence,510425,Online,Unemployed,No,Married,Approved,10%
2007-06-26,John,Business,Present,118600,Cash,Employed,Yes,Divorce,Approved,10%
2007-06-27,James,Business,Present,527822,Online,Employed,No,Divorce,Approved,15%
2007-06-28,James,Rent,Present,160030,Cash,Employed,No,Divorce,Rejected,20%
2007-06-29,James,School Fees,Absence,314289,Online,Employed,Yes,Single,Rejected,8%
2007-06-30,Daniel,Business,Present,445138,Online,Self-employed,Yes,Single,Rejected,10%
2007-07-01,Janet,Rent,Absence,567245,Cash,Self-employed,No,Divorce,Approved,15%
2007-07-02,Blessing,School Fees,Absence,270834,Cash,Self-employed,Yes,Divorce,Approved,20%
2007-07-03,Blessing,Others,Absence,383775,Cash,Self-employed,Yes,Divorce,Approved,20%
2007-07-04,Esther,School Fees,Present,128841,Cash,Unemployed,No,Married,Rejected,20%
2007-07-05,Propser,Rent,Present,238144,Cash,Employed,Yes,Married,Rejected,10%
2007-07-06,Queen,Others,Present,833417,Cash,Employed,No,Single,Approved,10%
2007-07-07,Queen,Rent,Absence,155413,Online,Unemployed,Yes,Married,Rejected,8%
2007-07-08,Propser,Food,Absence,948767,Online,Unemployed,No,Married,Rejected,10%
2007-07-09,Janet,Business,Present,549620,Online,Employed,Yes,Divorce,Rejected,20%
2007-07-10,Esther,Others,Present,565236,Online,Unemployed,Yes,Married,Rejected,8%
2007-07-11,Janet,Others,Absence,83446,Online,Self-employed,Yes,Divorce,Rejected,8%
2007-07-12,Paul,Business,Absence,89353,Cash,Self-employed,Yes,Single,Rejected,20%
2007-07-13,James,Business,Absence,607652,Online,Employed,No,Married,Approved,20%
2007-07-14,John,Business,Present,162429,Cash,Unemployed,No,Divorce,Rejected,10%
2007-07-15,Janet,Others,Present,316923,Online,Unemployed,No,Divorce,Rejected,15%
2007-07-16,John,Business,Present,510705,Cash,Employed,Yes,Divorce,Rejected,20%
2007-07-17,Propser,Food,Absence,860166,Cash,Self-employed,Yes,Married,Rejected,10%
2007-07-18,John,Rent,Present,506570,Cash,Self-employed,No,Divorce,Approved,10%
2007-07-19,Propser,Business,Present,491272,Cash,Unemployed,Yes,Married,Rejected,15%
2007-07-20,Paul,Others,Absence,185969,Online,Unemployed,No,Divorce,Rejected,20%
2007-07-21,Esther,Food,Present,365741,Online,Self-employed,Yes,Married,Approved,8%
2007-07-22,Esther,Business,Present,817069,Cash,Unemployed,No,Single,Rejected,15%
2007-07-23,Blessing,Food,Absence,376549,Cash,Unemployed,No,Married,Approved,20%
2007-07-24,Propser,Business,Absence,272464,Cash,Unemployed,No,Divorce,Approved,8%
2007-07-25,Blessing,Others,Absence,956886,Cash,Self-employed,No,Single,Approved,20%
2007-07-26,Propser,Rent,Absence,385232,Cash,Unemployed,No,Married,Approved,10%
2007-07-27,Eniola,Others,Absence,554847,Cash,Unemployed,No,Married,Rejected,10%
2007-07-28,Daniel,Business,Absence,329209,Cash,Unemployed,No,Divorce,Rejected,8%
2007-07-29,James,Food,Present,692335,Cash,Self-employed,No,Divorce,Approved,15%
2007-07-30,Janet,Business,Present,313310,Cash,Self-employed,Yes,Married,Rejected,20%
2007-07-31,Esther,Business,Absence,281052,Cash,Self-employed,No,Divorce,Approved,15%
2007-08-01,Queen,School Fees,Present,402820,Online,Self-employed,Yes,Divorce,Approved,15%
2007-08-02,Janet,Food,Present,218025,Cash,Self-employed,Yes,Divorce,Approved,10%
2007-08-03,Esther,School Fees,Present,424318,Cash,Employed,No,Single,Rejected,15%
2007-08-04,Blessing,Others,Absence,105907,Online,Self-employed,Yes,Divorce,Rejected,20%
2007-08-05,Janet,Rent,Present,221633,Cash,Employed,No,Divorce,Approved,20%
2007-08-06,Propser,Rent,Present,517256,Online,Unemployed,No,Married,Rejected,8%
2007-08-07,Esther,Business,Present,692192,Online,Employed,Yes,Married,Approved,15%
2007-08-08,Esther,Rent,Absence,316517,Cash,Employed,No,Married,Approved,15%
2007-08-09,Blessing,Business,Absence,711061,Online,Unemployed,No,Single,Rejected,20%
2007-08-10,John,Business,Absence,182082,Cash,Self-employed,No,Married,Rejected,10%
2007-08-11,John,School Fees,Absence,216911,Cash,Employed,Yes,Single,Rejected,8%
2007-08-12,Eniola,Business,Absence,840436,Online,Unemployed,Yes,Divorce,Approved,10%
2007-08-13,Paul,Others,Present,819227,Cash,Self-employed,No,Single,Approved,15%
2007-08-14,Daniel,Business,Present,415248,Online,Self-employed,Yes,Single,Rejected,20%
2007-08-15,Eniola,Others,Absence,456934,Online,Self-employed,No,Married,Rejected,20%
2007-08-16,Blessing,School Fees,Absence,293383,Online,Unemployed,Yes,Divorce,Approved,8%
2007-08-17,Daniel,Others,Absence,376483,Cash,Employed,No,Single,Rejected,10%
2007-08-18,Daniel,School Fees,Absence,913261,Cash,Unemployed,Yes,Divorce,Approved,10%
2007-08-19,Eniola,Food,Absence,490714,Online,Self-employed,No,Divorce,Approved,10%
2007-08-20,Propser,Business,Absence,113075,Online,Unemployed,No,Single,Rejected,8%
2007-08-21,Eniola,Food,Absence,480247,Cash,Unemployed,No,Married,Approved,8%
2007-08-22,Propser,Business,Present,108844,Cash,Unemployed,Yes,Married,Rejected,15%
2007-08-23,Eniola,School Fees,Present,772241,Cash,Unemployed,No,Married,Approved,15%
2007-08-24,Blessing,Rent,Absence,314365,Cash,Self-employed,Yes,Divorce,Approved,10%
2007-08-25,James,School Fees,Absence,425680,Online,Unemployed,Yes,Married,Approved,20%
2007-08-26,James,Food,Absence,178605,Cash,Self-employed,No,Married,Approved,10%
2007-08-27,Janet,School Fees,Present,586326,Online,Employed,Yes,Single,Rejected,15%
2007-08-28,John,School Fees,Present,530886,Cash,Unemployed,No,Married,Rejected,20%
2007-08-29,Eniola,Others,Absence,773877,Online,Self-employed,No,Divorce,Rejected,15%
2007-08-30,Paul,Rent,Absence,456811,Cash,Unemployed,No,Single,Approved,15%
2007-08-31,Blessing,Business,Absence,248830,Online,Employed,Yes,Divorce,Rejected,15%
2007-09-01,James,School Fees,Present,161464,Cash,Unemployed,No,Married,Rejected,8%
2007-09-02,Eniola,Food,Present,575393,Online,Employed,No,Married,Approved,8%
2007-09-03,Eniola,Food,Present,195020,Cash,Self-employed,Yes,Divorce,Approved,10%
2007-09-04,John,Others,Absence,922259,Cash,Unemployed,Yes,Divorce,Rejected,20%
2007-09-05,John,Rent,Absence,123294,Online,Unemployed,No,Divorce,Rejected,10%
2007-09-06,Daniel,Food,Present,353727,Cash,Employed,Yes,Married,Rejected,10%
2007-09-07,Queen,Rent,Absence,876800,Cash,Employed,No,Divorce,Approved,20%
2007-09-08,Propser,Food,Absence,873342,Online,Unemployed,No,Divorce,Rejected,15%
2007-09-09,James,Business,Absence,475644,Cash,Unemployed,No,Divorce,Approved,10%
2007-09-10,Propser,Business,Absence,237514,Cash,Employed,No,Divorce,Rejected,8%
2007-09-11,Propser,Rent,Absence,794584,Cash,Unemployed,Yes,Single,Rejected,15%
2007-09-12,Queen,School Fees,Present,448529,Cash,Unemployed,Yes,Married,Rejected,8%
2007-09-13,Daniel,Others,Absence,315713,Online,Unemployed,No,Divorce,Approved,8%
2007-09-14,James,Business,Absence,509390,Online,Employed,No,Single,Approved,8%
2007-09-15,Propser,Rent,Present,176654,Cash,Unemployed,Yes,Married,Rejected,15%
2007-09-16,John,Food,Present,365647,Cash,Self-employed,Yes,Married,Rejected,15%
2007-09-17,Janet,School Fees,Absence,997108,Online,Employed,No,Married,Rejected,20%
2007-09-18,Propser,School Fees,Absence,856061,Online,Employed,No,Divorce,Rejected,8%
2007-09-19,Paul,Business,Present,236378,Cash,Employed,No,Divorce,Approved,8%
2007-09-20,Eniola,Others,Absence,529910,Cash,Self-employed,Yes,Divorce,Rejected,15%
2007-09-21,Queen,School Fees,Absence,524402,Online,Self-employed,No,Married,Rejected,10%
2007-09-22,Esther,Business,Present,870317,Online,Self-employed,No,Divorce,Rejected,10%
2007-09-23,Propser,Food,Absence,729029,Online,Employed,Yes,Single,Approved,15%
2007-09-24,Eniola,School Fees,Absence,173199,Cash,Unemployed,No,Single,Rejected,15%
2007-09-25,Daniel,Business,Present,199904,Online,Self-employed,Yes,Divorce,Rejected,8%
2007-09-26,Eniola,Food,Absence,76554,Online,Self-employed,Yes,Single,Approved,20%
2007-09-27,James,Others,Absence,537524,Cash,Unemployed,Yes,Single,Rejected,20%
2007-09-28,Blessing,School Fees,Absence,71771,Cash,Employed,Yes,Single,Rejected,8%
2007-09-29,Eniola,School Fees,Absence,761111,Online,Employed,No,Single,Approved,10%
2007-09-30,Paul,Food,Present,966630,Online,Employed,No,Married,Approved,20%
2007-10-01,John,School Fees,Present,927494,Cash,Self-employed,No,Married,Rejected,15%
2007-10-02,Daniel,School Fees,Present,238981,Cash,Self-employed,No,Married,Rejected,15%
2007-10-03,Eniola,Rent,Absence,144223,Online,Self-employed,Yes,Divorce,Rejected,20%
2007-10-04,Queen,Others,Absence,904783,Cash,Employed,No,Married,Approved,15%
2007-10-05,Eniola,Business,Absence,65506,Cash,Unemployed,No,Married,Rejected,15%
2007-10-06,John,Business,Present,56473,Online,Unemployed,Yes,Divorce,Rejected,15%
2007-10-07,Janet,Others,Present,76127,Online,Employed,No,Married,Rejected,15%
2007-10-08,Eniola,Business,Present,253069,Online,Unemployed,Yes,Single,Rejected,15%
2007-10-09,Propser,Rent,Present,679120,Online,Self-employed,Yes,Divorce,Approved,15%
2007-10-10,Propser,Rent,Present,853146,Online,Unemployed,No,Married,Approved,10%
2007-10-11,Janet,Business,Absence,476531,Cash,Employed,Yes,Divorce,Rejected,20%
2007-10-12,Esther,Business,Absence,141883,Online,Unemployed,No,Single,Approved,10%
2007-10-13,Esther,Others,Absence,777258,Online,Self-employed,No,Single,Rejected,15%
2007-10-14,Esther,Business,Absence,772967,Online,Unemployed,Yes,Married,Approved,20%
2007-10-15,Queen,Rent,Present,91286,Online,Unemployed,No,Divorce,Approved,20%
2007-10-16,Esther,Rent,Present,555437,Online,Self-employed,No,Divorce,Approved,15%
2007-10-17,Daniel,Rent,Present,370890,Cash,Self-employed,No,Divorce,Approved,8%
2007-10-18,Eniola,Others,Present,688863,Online,Self-employed,No,Divorce,Rejected,10%
2007-10-19,Daniel,Others,Present,150404,Online,Self-employed,Yes,Divorce,Rejected,8%
2007-10-20,Eniola,Food,Absence,769888,Cash,Unemployed,No,Divorce,Approved,20%
2007-10-21,Blessing,Others,Present,494699,Cash,Employed,No,Single,Rejected,20%
2007-10-22,Eniola,Rent,Absence,196692,Online,Employed,Yes,Married,Rejected,10%
2007-10-23,Eniola,School Fees,Absence,820599,Online,Employed,Yes,Divorce,Rejected,8%
2007-10-24,Esther,Business,Absence,763494,Online,Self-employed,Yes,Single,Approved,20%
2007-10-25,Paul,School Fees,Absence,707483,Cash,Self-employed,No,Married,Approved,15%
2007-10-26,Queen,Others,Absence,653104,Online,Unemployed,No,Single,Rejected,20%
2007-10-27,Queen,Rent,Absence,261707,Online,Employed,No,Divorce,Rejected,8%
2007-10-28,Propser,Food,Absence,479599,Cash,Employed,No,Single,Rejected,8%
2007-10-29,Propser,Business,Absence,161265,Cash,Employed,Yes,Married,Rejected,10%
2007-10-30,Propser,Business,Absence,905495,Online,Employed,No,Divorce,Approved,10%
2007-10-31,Janet,School Fees,Absence,295925,Cash,Employed,Yes,Divorce,Rejected,15%
2007-11-01,Propser,Rent,Present,847473,Cash,Unemployed,No,Single,Rejected,20%
2007-11-02,Daniel,Food,Present,744270,Cash,Unemployed,Yes,Divorce,Approved,20%
2007-11-03,James,Rent,Absence,189957,Cash,Employed,Yes,Divorce,Rejected,8%
2007-11-04,Paul,Others,Present,660994,Cash,Employed,Yes,Divorce,Rejected,20%
2007-11-05,Eniola,Rent,Absence,66704,Cash,Unemployed,No,Single,Rejected,10%
2007-11-06,Queen,Others,Absence,89843,Online,Employed,No,Single,Rejected,20%
2007-11-07,James,Others,Absence,182386,Online,Employed,No,Married,Rejected,10%
2007-11-08,Daniel,Rent,Present,379688,Cash,Unemployed,Yes,Married,Approved,20%
2007-11-09,Daniel,Rent,Absence,388177,Online,Unemployed,No,Married,Approved,20%
2007-11-10,Paul,Food,Present,937026,Cash,Self-employed,Yes,Married,Approved,20%
